id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14259,571,1774346170498610117,1774346170498619816,1774346170499338216,1774346170499347979,0.010,0.718,0.738,200,3
14260,575,1774346170510452403,1774346170510459915,1774346170511320326,1774346170511346180,0.008,0.860,0.894,200,3
14261,572,1774346170512198798,1774346170512203067,1774346170520456371,1774346170520493846,0.004,8.253,8.295,200,3
14262,573,1774346170521089137,1774346170521130966,1774346170522824443,1774346170522900028,0.042,1.693,1.811,200,3
14263,574,1774346170531387674,1774346170537481164,1774346170540339387,1774346170540397727,6.094,2.858,9.010,200,3
14264,576,1774346170545082993,1774346170545090013,1774346170545541370,1774346170545549837,0.007,0.451,0.467,200,3
14265,581,1774346170567489813,1774346170567497647,1774346170570499988,1774346170570531649,0.008,3.002,3.042,200,3
14266,577,1774346170571130354,1774346170571134693,1774346170580313768,1774346170580378389,0.004,9.179,9.248,200,3
14267,578,1774346170580840831,1774346170580845846,1774346170587376282,1774346170587411976,0.005,6.530,6.571,200,3
14268,579,1774346170587756957,1774346170587762521,1774346170588529974,1774346170588555259,0.006,0.767,0.798,200,3
14269,580,1774346170588783603,1774346170588787572,1774346170597547020,1774346170597583326,0.004,8.760,8.800,200,3
14270,584,1774346170602770101,1774346170602780912,1774346170604724545,1774346170604738417,0.011,1.944,1.968,200,3
14272,587,1774346170617412511,1774346170617416597,1774346170619834559,1774346170619856402,0.004,2.418,2.444,200,3
14273,583,1774346170620267894,1774346170620272001,1774346170621029403,1774346170621036519,0.004,0.757,0.769,200,3
14271,582,1774346170605050100,1774346170605053236,1774346170617118448,1774346170621449732,0.003,12.065,16.400,200,3
14274,586,1774346170627611010,1774346170627618897,1774346170628427376,1774346170628449472,0.008,0.809,0.839,200,3
14275,585,1774346170633885532,1774346170633935510,1774346170641401155,1774346170641437979,0.050,7.466,7.553,200,3
14276,589,1774346170642053797,1774346170642058749,1774346170642948339,1774346170642963943,0.005,0.890,0.910,200,3
14277,588,1774346170643215999,1774346170643220127,1774346170643696927,1774346170643704296,0.004,0.477,0.488,200,3
14278,590,1774346170653936953,1774346170653946000,1774346170654651503,1774346170654724074,0.009,0.706,0.787,200,3
