id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
5899,1224,1774346082385429675,1774346082385436707,1774346082387419415,1774346082387445187,0.007,1.983,2.016,200,3
5900,1225,1774346082398584378,1774346082398594535,1774346082400266115,1774346082400285679,0.010,1.672,1.701,200,3
5901,1228,1774346082413317206,1774346082413325536,1774346082414074195,1774346082414099587,0.008,0.749,0.783,200,3
5902,1226,1774346082414389304,1774346082414392344,1774346082416038732,1774346082416062742,0.003,1.646,1.673,200,3
5903,1227,1774346082418605312,1774346082418613600,1774346082420390540,1774346082420410189,0.008,1.777,1.805,200,3
5904,1229,1774346082426790491,1774346082426797860,1774346082428963552,1774346082429056934,0.007,2.166,2.267,200,3
5905,1230,1774346082434174310,1774346082434183812,1774346082435448734,1774346082435462259,0.010,1.265,1.288,200,3
5906,1232,1774346082437624978,1774346082437632263,1774346082439939107,1774346082439973949,0.007,2.307,2.349,200,3
5907,1231,1774346082440535263,1774346082440540395,1774346082441846514,1774346082441870545,0.005,1.306,1.335,200,3
5908,1233,1774346082447489058,1774346082447497610,1774346082448113595,1774346082448172995,0.009,0.616,0.684,200,3
5909,1235,1774346082470149344,1774346082470190986,1774346082473218963,1774346082473244957,0.042,3.028,3.096,200,3
5910,1234,1774346082473576642,1774346082473580538,1774346082474667596,1774346082474693865,0.004,1.087,1.117,200,3
5911,1236,1774346082479315049,1774346082479322102,1774346082479607162,1774346082479616622,0.007,0.285,0.302,200,3
5912,1237,1774346082482111755,1774346082482118787,1774346082484001942,1774346082484035359,0.007,1.883,1.924,200,3
5913,1238,1774346082486575147,1774346082486580553,1774346082487327343,1774346082487334311,0.005,0.747,0.759,200,3
5914,1239,1774346082496778039,1774346082496787056,1774346082498363950,1774346082498388498,0.009,1.577,1.610,200,3
5915,1242,1774346082516097694,1774346082516103057,1774346082516527242,1774346082516533609,0.005,0.424,0.436,200,3
5916,1241,1774346082521786441,1774346082521795890,1774346082522375597,1774346082522392913,0.009,0.580,0.607,200,3
5917,1240,1774346082522690991,1774346082522694982,1774346082523277603,1774346082523328493,0.004,0.583,0.638,200,3
5918,1243,1774346082537196917,1774346082537206525,1774346082538117505,1774346082538179470,0.010,0.911,0.983,200,3
5919,1244,1774346082540789751,1774346082540797300,1774346082541946789,1774346082541962025,0.008,1.150,1.172,200,3
5920,1245,1774346082545862423,1774346082545868082,1774346082547804852,1774346082547823096,0.006,1.937,1.961,200,3
5921,1246,1774346082557299064,1774346082557305927,1774346082559233637,1774346082559251459,0.007,1.928,1.953,200,3
5922,1247,1774346082566494786,1774346082566503697,1774346082568259880,1774346082568276298,0.009,1.756,1.782,200,3
5923,1248,1774346082575262659,1774346082575270652,1774346082576167632,1774346082576193309,0.008,0.897,0.931,200,3
5924,1249,1774346082598207219,1774346082598215655,1774346082600546497,1774346082600578668,0.008,2.331,2.371,200,3
5925,1250,1774346082613318873,1774346082613326654,1774346082615336349,1774346082615363948,0.008,2.010,2.045,200,3
5926,1251,1774346082626885571,1774346082626890406,1774346082627714514,1774346082627726349,0.005,0.824,0.841,200,3
5927,1252,1774346082631671345,1774346082631680151,1774346082633462739,1774346082633491141,0.009,1.783,1.820,200,3
5928,1253,1774346082650226436,1774346082650235241,1774346082652412610,1774346082652436324,0.009,2.177,2.210,200,3
5929,1254,1774346082672784777,1774346082672793498,1774346082674084002,1774346082674093061,0.009,1.291,1.308,200,3
5930,1255,1774346082683798632,1774346082683808218,1774346082685325839,1774346082685404075,0.009,1.518,1.650,200,3
5931,1256,1774346082691418985,1774346082691427052,1774346082692258624,1774346082692277386,0.008,0.832,0.858,200,3
5932,1257,1774346082692750993,1774346082692755723,1774346082694328405,1774346082694356152,0.005,1.573,1.605,200,3
5933,1258,1774346082716452662,1774346082716458638,1774346082717842519,1774346082717848928,0.006,1.384,1.396,200,3
5934,1259,1774346082752243346,1774346082752252426,1774346082752776206,1774346082752792202,0.009,0.524,0.549,200,3
5935,1260,1774346082756204719,1774346082756213567,1774346082756876863,1774346082756893502,0.009,0.663,0.689,200,3
5936,1261,1774346082759607807,1774346082759637433,1774346082760351946,1774346082760360794,0.030,0.715,0.753,200,3
5937,1262,1774346082762092471,1774346082762096272,1774346082762458164,1774346082762463284,0.004,0.362,0.371,200,3
5938,1263,1774346082809622282,1774346082809633210,1774346082810361766,1774346082810373137,0.011,0.729,0.751,200,3
5939,1264,1774346082810692585,1774346082810695520,1774346082811573590,1774346082811588372,0.003,0.878,0.896,200,3
5940,1265,1774346082818478316,1774346082818488969,1774346082818844547,1774346082818851199,0.011,0.356,0.373,200,3
5941,1266,1774346082840335220,1774346082840343920,1774346082841489545,1774346082841504632,0.009,1.146,1.169,200,3
5942,1267,1774346082845833250,1774346082845840556,1774346082846306319,1774346082846401638,0.007,0.466,0.568,200,3
5943,1268,1774346082855848776,1774346082855854910,1774346082859820178,1774346082859831433,0.006,3.965,3.983,200,3
5944,1269,1774346082896938673,1774346082896945304,1774346082897894050,1774346082897900269,0.007,0.949,0.962,200,3
5945,1270,1774346082913155800,1774346082913163718,1774346082913859586,1774346082913878876,0.008,0.696,0.723,200,3
5946,1271,1774346082914322879,1774346082914327651,1774346082916385797,1774346082916403661,0.005,2.058,2.081,200,3
5947,1272,1774346082920018434,1774346082920027567,1774346082921096318,1774346082921104036,0.009,1.069,1.086,200,3
